NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_ACTIVITY,int
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-06-20,7.0,16 days 00:00:00.000000000,INT_CUT to INT_CUT,16
DEFAULT FOR NOT REQUIRED,INT_CUT,2005-07-01,37.0,11 days 00:00:00.000000000,INT_CUT to INT_CUT,11
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2006-08-31,11.0,426 days 00:00:00.000000000,INT_CUT to EA-RH-FH,426
DEFAULT FOR NOT REQUIRED,UA-RH-FH,2006-09-30,19.0,30 days 00:00:00.000000000,EA-RH-FH to UA-RH-FH,30
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2006-09-30,4.0,0 days 00:00:00.000000000,EA-RH-FH and UA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2006-09-30,85.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2007-09-30,1.0,365 days 00:00:00.000000000,EA-RH-NFH to EA-RH-FH,365
DEFAULT FOR NOT REQUIRED,EA-NRH-NFH,2007-12-15,13.0,76 days 00:00:00.000000000,EA-RH-FH to EA-NRH-NFH,76
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2008-09-30,16.0,290 days 00:00:00.000000000,EA-NRH-NFH to EA-RH-FH,290
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2008-09-30,10.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2009-06-10,5.0,253 days 00:00:00.000000000,EA-RH-NFH to INT_CUT,253
DEFAULT FOR NOT REQUIRED,INT_CUT,2009-08-20,20.0,71 days 00:00:00.000000000,INT_CUT to INT_CUT,71
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2010-03-01,30.0,193 days 00:00:00.000000000,INT_CUT to EA-RH-NFH,193
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2010-09-30,14.0,213 days 00:00:00.000000000,EA-RH-NFH to EA-RH-NFH,213
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2010-09-30,77.0,0 days 00:00:00.000000000,EA-RH-FH and EA-RH-NFH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2011-09-30,53.0,365 days 00:00:00.000000000,EA-RH-FH to INT_CUT,365
DEFAULT FOR NOT REQUIRED,INT_CUT,2012-07-31,6.0,305 days 00:00:00.000000000,INT_CUT to INT_CUT,305
DEFAULT FOR NOT REQUIRED,INT_CUT,2012-08-10,16.0,10 days 00:00:00.000000000,INT_CUT to INT_CUT,10
